speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Michael,Hunter,Global Head of Real Estate Alternatives and Strategic Transactions,Nuveen Real Estate,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Amy,Johannes,Managing Director,Oaktree,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
JR,Pearce,,"Senior Investment Officer, Sacramento County Employees’ Retirement System SCERS",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Laurie,Smith,Chief Investment Officer,Blue Vista,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Michael,Acton,Michael  Acton,"Managing Director, Head of Research, AEW",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Gina,Baker Chambers,Principal and Portfolio Manager,Artemis Real Estate Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Michael,Bego,Managing Partner,"Founder, Kline Hill Partners",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Sam,Bendix,Managing Director – Equity Capital Markets & Investor Relations,Landmark Properties,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Jonathan,Brasse,,Jonathan  Brasse,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Julia,Butler,Managing Director,"Real Estate, KKR",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Kyle,Campbell,,"Senior Reporter, PERE",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
David,Christie,CEO,Matter Real Estate LLP,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Lisa,Davis,Executive Director and Portfolio Manager,"Impact Investing, PGIM Real Estate",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Juan,DeAngulo,Managing Partner,Elion Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Daniel,Drabkin,Partner,Clifford Chance,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Marta,Drummond,Principal,Strategic Consultant,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Javier,Faus,Chairman,Meridia Capital,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Rosemary,Feenan,Executive Vice President,"Research, QuadReal",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Steve,Felix,Partner & Co-Founder,Felix / Weiner Consulting Group,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Raphael,Fishbach,Principal,Mesa West Capital,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Melissa,Gliatta,COO,Thor Equities,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Raymond,Gong,Managing Director,"Real Estate, Oaktree",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Lora,Gotcheva,Managing Director,"Real Estate, CPP Investment Board",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Todd,Henderson,Head of Real Estate for the Americas,"Global Co-head of Real Estate Investments, DWS",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Yane,Hsu,Founder & Principal,Laurea LLC,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Zoe,Hughes,CEO,NAREIM,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Richard,Anthony Johnson,Head of International Capital Markets,SIGNA,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Mary,Lang,Head of Americas Direct Logistics Strategies and Portfolio Manager,CBRE Investment Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Simon,Lauzier,Chief Financial and Business Performance Officer,Ivanhoé Cambridge,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Heidi,Learner,Americas Head of Real Assets Research,CBRE Investment Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Jessica,Lee,Managing Director,BentallGreenOak,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Peter,Lesburg,Managing Director,"Capital Markets & Investor Relations, Realterm",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Helee,Lev,,"CRO, ESG, Conservice",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Michael,Levy,Chief Executive Officer,Crow Holdings,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Dillon,Lorda,Portfolio Manager,AEW,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Frédérick,Magnon,Senior Director,"Real Estate Investments, PSP Investments",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Joe,Marconi,Managing Director,"Real Estate, Bain Capital",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Derrick,McGavic,Managing Principal & Chief Investment Officer,Newport Capital Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Lee,Menifee,Managing Director,"Head of Americas Investment Research, PGIM Real Estate",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Randy,Moss,,"Senior Team Leader, Yardi",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
John,Murray,Portfolio Manager,"Commercial Real Estate, PIMCO",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Jerome,Nichols,President and Co-Founder,Standard Real Estate Investments,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Jonathan,Pearce,Head,"Investments, Office, and Life Sciences, US, Ivanhoé Cambridge",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Dmytriy,Pereklita,President & Founding Partner,DKSTUDIO ARCHITECTS,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Tal,Peri,Head of U.S. East Coast and Latin America,Union Investment Real Estate GmbH,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Tricia,Peterson,Managing Partner & Chief Operating Officer,Accord Group Holdings,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Peter,Plaut,Executive Director,Wimmer Group,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Robin,Potts,Partner and CIO,Canyon Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Ari,Rastegar,Founder & CEO,Rastegar,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
John,Rivard,Chief Investment Officer,Accesso Partners,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Anthony,Ross,Managing Director,State Street,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Kelly,Ryan,Partner,Kirkland & Ellis,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Anthony,Santiago,Chief Operating Officer,New Empire,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Neha,Santiago,Head of Real Estate Private Credit and Managing Director,Cerberus Capital Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Sarah,Schwarzschild,Co-Head,"BGO Strategic Capital Partners, BentallGreenOak",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Tyler,Seaman,Head of Hotels & Multi-Residential,"North America, Oxford Properties Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Mike,Sebastian,Industry Principal,Appfolio Investment Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Ryan,Simonetti,CEO & Founder,Convene,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Alan,Snoddy,Managing Director,"Head of Private Markets, The Church Pension Fund",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Kim,Snyder,President – West Region,Prologis,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Michael,Streicker,President,Sentinel Real Estate Corporation,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Dev,Subhash,Partner,StepStone,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Jordan,Suppan,Managing Director,Leste Credit,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Susan,Swanezy,Partner,Hodes Weill & Associate,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Philip,Thomas,Managing Director,Marathon Asset Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Peter,Tsoulogiannis,Partner,Slate Asset Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Michael,Turner,President,Oxford Properties,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Reid,Weppler,Head of Real Estate,Convene,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Jacob,Werner,Senior Managing Director,"Real Estate, Blackstone",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Suzanne,West,President,Epic Advisory,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Leslie,Wohlman Himmel,Founder and Co-Managing Partner,Himmel + Meringoff Properties,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Dadong,Yan,Portfolio Manager,"Alternative Investments, MassMutual",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Dr.,Tingting Zhang,Dr. Tingting  Zhang,"Founder & Co-CEO, TerraCotta Group",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Latonya,"Allen, CUDE",Chief Lending Officer,Government Printing Office Federal Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jen,Anthony,"Vice President, Think",Stack,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Raj,Bandaru,CIO,Kinecta FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jason,Bedsworth,Founder & President,CFS Insight,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
LaSonya,"Berry, SPHR",,"CHRO, AACUC / CEO, McPherson, Berry & Associates",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
John,Bissell,President & CEO,Greylock FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jennie,Boden,CEO,Quantum Governance,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tomer,Borenstein,CTO & Co-Founder,BlastPoint,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jim,Bouchard,Founder,The SENSEI LEADER Movement,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Leigh,Brady,President and Chief Executive Officer,SECU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Sedric,Brinson,Sedric  Brinson,"Chairman and Co-founder, L.E.A.D Leaders Engaged in Action and Development MS",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Sharon,Camper,Chief People Officer,Apple FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tad,Carlson,VP – IT Solutions & Development,Royal Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Marquis,Carroll,Chief Executive Officer,MSC Security,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Zach,Christensen,Director,"DEI & Digital Services, Mitchell, Stankovic & Associates",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Stephen,M.R. Covey,,"Bestselling Author, Trust & Inspire",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Justin,Crawley,,Justin   Crawley,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Dohnia,Dorman,Chief Experience Officer,African-American Credit Union Coalition,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Peter,Duffy,Managing Director of Merger Advisory Services,SRM,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Nick,Evens,President & CEO,"Curql Collective, LLC",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Deborah,Fears,President & CEO,Chicago Post Office Employees CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
John,Felton,CEO,Southern Chautauqua Federal Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Juan,Fernandez,President & CEO,Louisiana Credit Union League,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Eric,Fifield,Chief Revenue Officer,EFG Companies,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Nash,Fung,,Magician & Keynote Speaker,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tamra,Gaines,President,Tamra Gaines & Associates,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Johnny,Garlich,Founder,The Member Closing Center,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Ryan,Giffin,SVP,"Client Success, LendKey",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Billy,Guthrie,Managing Director,Darling Consulting Group,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Emma,Hayes,Chief Learning & Engagement Officer,SECU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Ronaldo,Hardy,President and CEO,NACUSO,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tim,Harrington,,"CPA, President, TEAM Resources",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Emily,Hollis,CEO,ALM First,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Ashley,Holloway,Partner Sales Manager,Amazon Web Services,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Rob,Hoyle,Chief Information Officer,Vantage West Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Delana,Huling,President & CEO,Baylor Health Care System Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Milton,Hunt,President,author of 10 Keys to Maximizing Your Potential,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tracey,Jackson,President/CEO Treasury Department FCU,,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
John,Janclaes,President,NYMBUS,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Carolyn,Jordan,Chief Growth Officer,Neighborhood CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jackie,Joyner-Kersee,,Olympic Great,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Nancy,Kappler-Foster,,"Board Treasurer, Hudson Valley Credit Union,",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Maria,Kell,Co-Founder,KellMoore & Associates,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Joe,Kennerson,Managing Director,Darling Consulting Group,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
C.,J. Klump,Senior Director,"Consumer Credit Products, Visa",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Gabe,Krajicek,CEO,Kasasa,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Anne,Legg,Founder & President,Thrive Strategic Services,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Cory,Madden,Board Director,Ventura County CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Travis,Markley,President & CEO,Hoosier Hills Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Paul,Marston,COO,HR Performance Solutions,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Dayatra,Matthews,,"CLO & GC, LGFCU/Civic FCU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Susan,Mitchell,CEO,"Mitchell, Stankovic & Associates",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Barbara,Mojica,Executive Director,National Latino Association of CU Professionals,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tyler,Moore,Co-Founder,KellMoore & Associates,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
John,Moreno,Managing Partner,Newcleus,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Tyrone,Muse,CEO,Visions FCU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Scott,Olson,SVP,"Chief Data Officer, CoastHills Credit Union",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Stan,Phelps,,"Author, Forbes Contributor, TEDx Speaker, IBM Futurist",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Sam,"Plester, CUDE",CEO & Founder,Mission Brands Consulting,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Espy,Poblano,Training Manager,AACUC,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
James,"Pogue, Ph.D",Chief Executive Officer,JP Enterprises,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Jim,Pond,co-founder,JXM,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Liz,Ponder,,"Senior Executive, SRP FCU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Matt,Roe,Chief Revenue Officer,"Open Lending, LLC",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Renee,Sattiewhite,CEO & Founder,"Sattiewhite Training Productions, Inc.",https://www.linkedin.com/in/renee-sattiewhite-48b78b13/,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Michael,Scholl,Director of Analytics,Chartway Credit Union,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Keith,& Rebecca Klein Scott,,Keith & Rebecca   Klein Scott,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Debbie,Smith,CEO,Georgia United CU,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Kwame,Smith,,Kwame  Smith,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Lynette,Smith,Chief Engagement Officer,"Quantum Governance & retired President/CEO, TruEnergy FCU",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
Maurice,"Smith, Esq.",CEO ret.,"Local Government FCU, M Smith Law, PLC",,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speakers-2025
