speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Alfred,Chuang,General Partner,Race Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Jonathan,Larsen,Chief Innovation Officer,Ping An Insurance Group & CEO,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Weijian,Shan,Group Chairman and Chief Executive Officer,PAG,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Kunal,Shroff,Managing Partner,ChrysCapital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Ravi,Thakran,CEO of Aspirational Consumer Lifestyle Corp; former managing partner and chairman,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Andi,Haswidi,Head – Asean Research,DealStreetAsia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Paul,Santos,Managing Partner,Wavemaker Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Viable,Economic Engine Abheek Anand,Managing Director,Sequoia Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Rajan,Anandan,Managing Director,Surge and Sequoia Capital India LLP,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Jixun,Foo,Managing Partner,GGV Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Brian,Gu,Vice Chairman and President,Xpeng Motors,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Nicholas,Cator,Managing Partner,Venturi Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Deepak,Shahdadpuri,Managing Director,DSG Consumer Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
General,Partner,A91 Partners,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Sandhya,Sriram,CEO & Co-founder,Shiok Meats,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Gojek,Catherine Hindra Sutjahyo,Chief Food Officer,Gojek,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Raditya,Wibowo,Group Head of Transport,Gojek,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Dave,Ng,General Partner,Altara Ventures,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Pandu,Sjahrir,Co-managing Partner,Indies Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Roderick,Purwana,Managing Partner,SMDV,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Takeaways,Joseph Phua,non-executive chairman,M17 Entertainment (co-founder & former group CEO,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Teh,Hua Fung,Group President,ONE Championship,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Amit,Saberwal,Founder & CEO,RedDoorz,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Akshay,Bhushan,Partner,Lightspeed (India and SEA),,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
David,Gowdey,Managing Partner,Jungle Ventures,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Vertex,Holdings Joji Thomas Philip,Editor-in-Chief and Founder,DealStreetAsia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Larry,Li,Managing Partner,AMINO Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Products,That Count Arjun Sethi,Co-Founder & Partner,Tribe Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Donald,Lacey,COO & Managing Director,Ping An Global Voyager Fund,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Wallace,Guo,Managing Partner,Taihecap,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Soo,Boon Koh,Founding Managing Partner,iGlobe Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Rebekah,Woo,Managing Director,Fosun,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Anand,Lunia,Founding Partner,India Quotient,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Rajesh,Sawhney,Founder & CEO,GSF Accelerator,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Pankaj,Mishra,Journalist and Co-Founder,FactorDaily (Moderator),,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Yinglan,Tan,Founding Managing Partner & CEO,Insignia Venture Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Ovo,Akshay Garg,Co-Founder & CEO,FinAccel,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Vy,Hoang Uyen Le,Founder,Do Ventures,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Bert,Kwan,Managing Partner,BDA Capital Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
