first_name,last_name,title,company_name,event_source,category,event_name,event_date,event_location
Stephen,Reynolds,Partner Privacy and Cybersecurity,McDermott Will & Schulte,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Alex,Roberts,Partner China Tech and Fintech Sector Lead,Linklaters,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Tarun,Samtani,Senior Director Cyber Data & AI Governance; AI Governance Council Member,Singapore AI Association,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Charis,Seow,VP Privacy Counsel and Data Protection Officer,Oversea-Chinese Banking Corp (OCBC),IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Kuan,Song,CISO,Tiger Brokers,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Karishma,Sundara,Founder,Kintsugi Law,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Claire,Tan,Lead Senior Counsel Asia-Pacific Privacy Lead,Lenovo,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Risen,Tan,Global Counsel,HoYoverse,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Jonathan,Tay,Global Data Privacy Counsel,Accenture,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Manfred,Tee,Data Protection Officer,Alibaba.com,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Eugene,Teo,Chief Security Advisor,Microsoft,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Monika Tomczak,Górlikowska,Group Head of Privacy Digital and Regulatory,Prosus and Naspers,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Bianca,Villarama,Director Regulatory and Privacy,Tala,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Phung (Zoe),Vuong,Global Data Protection Director,VinFast Global,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Jason Tamara,Widjaja,Executive Director of AI,MSD (Merck),IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Vanessa,Wilfred,Deputy Director AI Governance,IMDA,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Ken Li,Yu,Group Data Protection Officer,Advance Intelligence Group,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Hailun,Ying,Head of PrivSec Legal,Roblox,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Sébastien,Ziegler,Chairman of Europrivacy International Board of Experts,Europrivacy,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Lanx,Goh,Global Head of Privacy & AI Privacy,Prudential,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
OneTrust,,Palladium Sponsor,,IAPP Asia Forum,Sponsor,Singapore Data Festival 2026,20-24 July 2026,Singapore
Securiti AI,,Gold Sponsor,,IAPP Asia Forum,Sponsor,Singapore Data Festival 2026,20-24 July 2026,Singapore
Bird & Bird,,Silver Sponsor,,IAPP Asia Forum,Sponsor,Singapore Data Festival 2026,20-24 July 2026,Singapore
aosphere,,Exhibitor,,IAPP Asia Forum,Exhibitor,Singapore Data Festival 2026,20-24 July 2026,Singapore
